date,split,model,mean_wis,state_count,row_count
2024-06-03,train,catboost,0.24286381018857173,25,25
2024-06-10,train,catboost,0.2665829046442441,24,24
2024-06-17,train,catboost,0.45475106548023514,24,24
2024-06-24,train,catboost,0.27497377127571715,25,25
2024-07-01,train,catboost,0.4445479987367639,24,24
2024-07-08,train,catboost,0.22440484687121898,24,24
2024-07-15,train,catboost,0.33585690259098944,24,24
2024-07-22,train,catboost,0.24540543197342293,24,24
2024-07-29,train,catboost,0.22977266384489417,25,25
2024-08-05,train,catboost,0.1722493168050066,25,25
2024-08-12,train,catboost,0.2042388157727337,24,24
2024-08-19,train,catboost,0.3739122205280643,25,25
2024-08-26,train,catboost,0.19676132460278284,24,24
2024-09-02,train,catboost,0.259516336680883,24,24
2024-09-09,train,catboost,0.21641605126005475,23,23
2024-09-16,train,catboost,0.2944705316911988,25,25
2024-09-23,train,catboost,0.2848479799685075,25,25
2024-09-30,train,catboost,0.29359887604946927,24,24
2024-10-07,train,catboost,0.32266725561165727,25,25
2024-10-14,train,catboost,0.2548775905859438,25,25
2024-10-21,train,catboost,0.26807005540112566,24,24
2024-10-28,train,catboost,0.21295956247564715,25,25
2024-11-04,train,catboost,0.25104844048760927,25,25
2024-11-11,train,catboost,0.20647600641528974,24,24
2024-11-18,train,catboost,0.5695322498855152,24,24
2024-11-25,train,catboost,0.36488649234199627,25,25
2024-12-02,train,catboost,0.22611919447733772,24,24
2024-12-09,train,catboost,0.1781491450276745,24,24
2024-12-16,train,catboost,0.3368392600842221,24,24
2024-12-23,train,catboost,0.4941085711841683,25,25
2025-01-06,train,catboost,0.40639782822182463,22,22
2025-01-13,train,catboost,0.30110820448899084,24,24
2025-01-20,train,catboost,0.24748105845446602,21,21
2025-01-27,train,catboost,0.2910322424176309,25,25
2025-02-03,train,catboost,0.20664383208504486,24,24
2025-02-10,train,catboost,0.22158214564496834,25,25
2025-02-17,train,catboost,0.22795547672260805,23,23
2025-02-24,train,catboost,0.2020019847571095,24,24
2025-03-03,train,catboost,0.2578710191314418,24,24
2025-03-10,train,catboost,0.16663503488730913,25,25
2025-03-17,train,catboost,0.19691717169123404,24,24
2025-03-24,train,catboost,0.19052900707758744,24,24
2025-03-31,train,catboost,0.18985824039333207,24,24
2025-04-07,train,catboost,0.20089872924916954,24,24
2025-04-14,train,catboost,0.26009205356270865,24,24
2025-04-21,train,catboost,0.1676508573737353,23,23
2025-04-28,train,catboost,0.23168035686892696,24,24
2025-05-05,train,catboost,0.2150790432367294,23,23
2025-05-12,train,catboost,0.17076956704611326,24,24
2025-05-19,train,catboost,0.23119253196892106,24,24
2025-05-26,train,catboost,0.21659039668393942,25,25
2025-06-02,train,catboost,0.28428491039374004,25,25
2025-06-09,train,catboost,0.2727900025888006,24,24
2025-06-16,train,catboost,0.2161047393777078,24,24
