date,state,split,model,mean_wis,row_count
2022-05-09,Alabama,train,ensemble_tree,0.14940372038116037,1
2022-05-16,Alabama,train,ensemble_tree,0.13155110979342535,1
2022-05-23,Alabama,train,ensemble_tree,1.2311798453258056,1
2022-05-30,Alabama,train,ensemble_tree,0.4176361821946722,1
2022-06-06,Alabama,train,ensemble_tree,0.6846709416946672,1
2022-06-13,Alabama,train,ensemble_tree,0.33183957382146434,1
2022-06-20,Alabama,train,ensemble_tree,0.2531234257182871,1
2022-06-27,Alabama,train,ensemble_tree,0.44472491025643673,1
2022-07-04,Alabama,train,ensemble_tree,0.3526373642578562,1
2022-07-11,Alabama,train,ensemble_tree,0.27884747690680695,1
2022-07-18,Alabama,train,ensemble_tree,0.14136896611789315,1
2022-07-25,Alabama,train,ensemble_tree,0.18470385572218725,1
2022-08-01,Alabama,train,ensemble_tree,0.1287451417696445,1
2022-08-08,Alabama,train,ensemble_tree,0.4485604550200088,1
2022-08-15,Alabama,train,ensemble_tree,0.1367368512081065,1
2022-08-22,Alabama,train,ensemble_tree,0.35826845211437464,1
2022-08-29,Alabama,train,ensemble_tree,0.2526526517436509,1
2022-09-05,Alabama,train,ensemble_tree,0.183869292334814,1
2022-09-12,Alabama,train,ensemble_tree,0.256711098723635,1
2022-09-19,Alabama,train,ensemble_tree,0.2411661573242787,1
2022-09-26,Alabama,train,ensemble_tree,0.5902920127270138,1
2022-10-03,Alabama,train,ensemble_tree,0.4084855972640485,1
2022-10-10,Alabama,train,ensemble_tree,0.13808626034070018,1
2022-10-17,Alabama,train,ensemble_tree,0.22715498801041054,1
2022-10-24,Alabama,train,ensemble_tree,0.35293504788850383,1
2022-10-31,Alabama,train,ensemble_tree,0.31808865089917043,1
2022-11-07,Alabama,train,ensemble_tree,0.5423878943941418,1
2022-11-14,Alabama,train,ensemble_tree,0.23333216980076968,1
2022-11-21,Alabama,train,ensemble_tree,0.6121532067447826,1
2022-11-28,Alabama,train,ensemble_tree,0.12517857894368434,1
2022-12-05,Alabama,train,ensemble_tree,0.42320359621290576,1
2022-12-12,Alabama,train,ensemble_tree,0.2553940319637569,1
2022-12-19,Alabama,train,ensemble_tree,0.17001769754687626,1
2022-12-26,Alabama,train,ensemble_tree,0.7157625876433175,1
2023-01-02,Alabama,train,ensemble_tree,0.9309853967860944,1
2023-01-09,Alabama,train,ensemble_tree,0.37642613045263723,1
2023-01-16,Alabama,train,ensemble_tree,0.2711971510824422,1
2023-01-23,Alabama,train,ensemble_tree,0.5543220662761701,1
